symbol,returns,risk
NEE,0.057557955,1.011079474
NEM,-0.028616979,2.047483158
NFLX,0.261984273,3.890878511
NFX,0.020772751,2.431469917
NOV,0.083519383,2.048071508
NSC,0.072599503,1.545788266
NTAP,0.040519642,2.130145609
NUE,0.024042364,1.618593672
NVDA,0.034334688,2.457026432
NWL,0.081780455,1.690473941
OKE,0.119117927,1.556099134
OMC,0.060685951,1.3918323
ORLY,0.129585206,1.420555387
OXY,0.033512822,1.709372774
PAYX,0.03223225,1.142186736
PBI,0.035519316,2.071431327
PCAR,0.062104289,1.789929702
PCG,0.009246803,1.049139716
PCLN,0.170585169,2.207970877
PDCO,0.037623178,1.339426467
PEG,0.015581835,1.143444623
PEP,0.039081716,0.882730516
PFE,0.044625161,1.190747111
PH,0.080386316,1.806110836
PM,0.053290612,1.122832589
PNR,0.075736823,1.730073853
PNW,0.042530466,1.044008409
PPG,0.11580145,1.51090718
PPL,0.010981943,1.045735111
PVH,0.11338516,2.210763769
PWR,0.064093882,1.911991691
PX,0.047404323,1.149094233
QCOM,0.054048359,1.595295814
R,0.084711277,1.91146872
RCL,0.108789811,2.514497573
REGN,0.27275252,3.057246269
RHI,0.070890409,1.915541595
RHT,0.081209232,2.20062566
RL,0.079264202,1.841391114
ROK,0.095152177,1.943288243
ROP,0.099927071,1.418031175
ROST,0.118301921,1.454713703
RRC,0.059167686,2.234478428
RSG,0.034881,1.252040287
SBUX,0.118139808,1.691677815
SCG,0.032491699,0.989410844
SE,0.067224645,1.264861993
SEE,0.059299206,1.843624322
SHW,0.117162353,1.366046081
SJM,0.04883174,1.100900434
SNI,0.067729202,1.605446592
SO,0.02795698,0.809835212
SPGI,0.087760408,1.575598333
SPLS,-0.041767097,2.043362643
SRCL,0.073058827,1.228346736
SRE,0.060083751,1.048123512
STX,0.140287965,2.786403924
SWKS,0.154561485,2.831318765
SYK,0.048712986,1.320491522
SYMC,0.040397851,1.821240145
SYY,0.031166439,1.079957456
T,0.022144636,0.993959509
TAP,0.049527052,1.331898624
TDC,0.056441713,2.132696176
TEL,0.092078792,1.657106482
TGT,0.025560309,1.216049062
TIF,0.089320107,1.917958259
TJX,0.111484448,1.370729251
TMO,0.091041529,1.533307168
TSCO,0.154848551,1.859080394
TSO,0.158950107,2.572752929
TSS,0.060909754,1.370572435
TXN,0.064303929,1.531195573
UAL,0.154386497,2.913541815
UHS,0.12926341,1.908532972
UNP,0.110250745,1.443880548
UPS,0.050400379,1.139478073
URBN,0.034061632,2.131275782
UTX,0.043430663,1.294339001
VAR,0.062774767,1.580473185
VIAB,0.097577514,1.585462437
VLO,0.129656968,2.345670727
VMC,0.040142255,2.215691047
VRSK,0.073381472,1.270856752
VRSN,0.086342292,1.72073408
VRTX,0.122099679,3.674712913
VZ,0.045500208,1.0582889
WDC,0.099620393,2.435752832
WEC,0.056104301,0.984882487
WFM,0.108797675,2.025232337
WHR,0.079147047,2.275632033
WM,0.033837915,1.152556127
WMB,0.121047087,1.865768507
WMT,0.032378894,0.909265212
WU,0.009283805,1.779982973
WY,0.022936175,2.54752498
WYN,0.136103307,1.894400152
WYNN,0.121432323,2.336333852
XEC,0.110030318,2.350798183
XEL,0.040038393,0.925273066
XLNX,0.056807244,1.626127968
XOM,0.037463684,1.134701256
XRAY,0.035354193,1.394891531
XRX,0.058229143,1.897769693
YHOO,0.087720932,1.922000796
YUM,0.07282955,1.479612748
ZBH,0.053134166,1.426470504
